"Speaker","Word","Iter","Vowel","Phonation","Tone","Duration","h1c","h2c","h4c","a1c","a2c","a3c","h1h2c","h2h4c","h1a1c","h1a2c","h1a3c","h42Kc","h2Kh5Kc","cpp","energy","hnr05","hnr15","hnr25","hnr35","shr","soe","f0","f1","f2"
"m2","lni",1,"i","modal","L",209,8.25,0.82375,-0.735,-3.67025,-15.0515,-19.5295,7.42625,1.5585,11.91975,23.3015,27.7795,14.5155,16.00925,17.84225,-0.730487055782084,22.248,42.69225,46.04975,45.879,0,0.03525,85.42825,273.81425,2325.93075
"m2","lni",2,"i","modal","L",173,4.24275,-5.62125,-10.2785,-16.299,-25.309,-18.43575,9.864,4.657,20.54125,29.55175,22.67825,19.09075,1.207,15.17075,-1.07186029312488,21.93625,38.94175,43.137,44.68975,0.01175,0.0205,80.91725,263.2385,2005.68425
"m2","lni",3,"i","modal","L",166,3.0495,-7.75375,-7.68875,-12.6175,-18.71675,-29.1155,10.80375,-0.06525,15.66725,21.7665,32.1655,11.57,12.568,15.99625,-1.58502665202918,21.519,40.6175,45.5915,46.4545,0,0.02675,78.45675,245.9565,2398.263
"m2","pyine",1,"i","modal","M",77,13.4695,7.65575,-2.87575,-0.7565,-19.36975,-13.4965,5.814,10.5315,14.226,32.83925,26.966,10.28625,14.243,21.55325,-0.212185432936977,28.923,48.50875,50.96075,48.786,0,0.04575,104.25275,296.52625,2277.4975
"m2","pyine",2,"i","modal","M",80,10.01775,3.302,-4.6865,-2.68325,-22.4665,-13.89375,6.716,7.98875,12.7015,32.48475,23.912,14.961,7.7945,15.2085,-0.593459819566045,18.601,37.462,42.34,43.524,0,0.05,96.211,280.49,1956.30725
"m2","pyine",3,"i","modal","M",104,10.0485,3.52975,0.4935,-0.812,-13.74975,-16.3465,6.519,3.03575,10.8605,23.7985,26.395,5.72125,27.3,17.487,-0.47853501038523,20.99975,41.968,43.779,43.94625,0,0.05,94.4985,283.88975,2472.55475
"m2","tsil",1,"i","modal","F",83,12.7715,9.22075,2.30225,-0.61275,-7.9365,-4.18175,3.551,6.919,13.38375,20.70775,16.95325,19.53625,3.19775,15.54025,-0.0525662781129492,14.6055,32.148,34.2845,35.076,0,0.03425,113.864,311.2545,2038.50475
"m2","tsil",2,"i","modal","F",138,11.4495,4.92125,-1.81775,-2.494,-17.4675,-9.143,6.52825,6.7385,13.9435,28.917,20.59225,16.753,9.43225,15.835,-0.442793660234468,10.67625,31.60675,35.89325,37.10025,0.0225,0.038,97.13125,281.51775,2001.52675
"m2","tsil",3,"i","modal","F",128,8.24875,0.588,-7.59675,-5.60025,-21,-3.69275,7.661,8.1845,13.849,29.24875,11.94175,14.4785,0.91925,14.90475,-0.813184875552546,18.29425,39.51625,42.87175,41.9475,0,0.04225,94.123,264.1625,1978.83375
"m2","xhidw",1,"i","modal","R",135,11.525,4.93525,-0.35525,-0.86025,-18.1705,-0.229,6.5895,5.291,12.38525,29.6955,11.7535,14.74075,13.76875,19.59425,-0.364013888199167,26.02525,42.28375,43.85525,42.1525,0,0.049,96.842,293.084,1890.45875
"m2","xhidw",2,"i","modal","R",137,6.68575,3.1855,-5.466,-3.29425,-21.3345,-14.446,3.50025,8.65125,9.98,28.02075,21.132,17.5715,11.5615,16.59025,-0.783834097714007,20.62175,42.41075,45.007,44.18475,0,0.045,90.897,256.136,1939.61475
"m2","xhidw",3,"i","modal","R",134,4.458,-1.04475,-4.946,-6.8555,-11.97575,-5.40475,5.50275,3.901,11.31375,16.43375,9.86275,0.4695,21.3685,15.5825,-1.11069829749369,18.873,34.7915,39.167,39.86575,0,0.039,88.916,243.45175,2471.65725
"m2","xsil",1,"i","modal","L",159,5.98625,-1.629,-2.943,-3.4105,-25.27825,-4.922,7.61525,1.31375,9.3965,31.2645,10.908,21.29525,6.4375,14.99675,-0.928117992693875,21.45125,39.549,43.33225,41.658,0,0.0385,85.384,258.44325,1909.7875
"m2","xsil",2,"i","modal","L",124,6.07425,2.25275,-3.1655,-3.3775,-19.59125,-12.32525,3.82175,5.418,9.452,25.666,18.4,10.95775,17.8945,21.12225,-0.913640169325252,26.06925,45.22,47.232,47.0385,0,0.048,87.07375,255.90175,1863.08675
"m2","xsil",3,"i","modal","L",141,6.50675,-1.04625,-3.13025,-5.038,-25.5405,-11.86075,7.553,2.084,11.54475,32.04725,18.3675,15.6785,10.95725,15.2435,-0.977777895492294,19.6105,39.8285,43.558,43.1065,0,0.04525,85.0075,265.46875,1825.9565
"m2","xtilh",1,"i","modal","F",154,3.17275,3.6625,0.0890000000000001,-3.2125,-15.846,-12.6215,-0.4895,3.5735,6.385,19.01875,15.79375,16.7185,14.16875,19.47975,-0.518199190461389,28.32075,45.374,47.33,47.3825,0.39075,0.015,119.676,294.16375,1923.873
"m2","xtilh",2,"i","modal","F",137,9.58975,-1.2265,-8.8485,-9.62125,-23.51125,-10.658,10.81625,7.62225,19.211,33.10125,20.2475,9.85275,11.32025,17.36775,-0.813891620186795,21.62675,41.98425,45.4885,44.36875,0,0.0395,105.5705,290.3125,1848.6275
"m2","xtilh",3,"i","modal","F",86,9.2725,1.748,-10.07825,-5.89,-22.6805,-20.38825,7.52425,11.826,15.16275,31.953,29.661,12.5585,3.698,15.46375,-0.758204568704801,23.107,43.2935,46.804,47.65475,0,0.05,101.23325,279.39275,1925.7625
"m2","yi7inh",1,"i","rearticulated","L",187,10.30075,6.47,4.31875,-3.33925,-17.77,-13.19275,3.83075,2.151,13.64025,28.07075,23.49325,19.8285,14.8565,19.769,-0.545536267248862,20.98425,39.68525,45.184,44.48675,0,0.047,89.77075,263.95225,2336.35475
"m2","yi7inh",2,"i","rearticulated","L",76,6.7425,3.08775,1.75,-7.02475,-24.7465,-18.34575,3.65425,1.33775,13.76725,31.48875,25.088,19.622,16.485,0,-0.979845968361667,0,0,0,0,0,0.05525,86.604,250.02775,2287.4515
"m2","yich",1,"i","modal","L",65,3.16125,-6.747,-4.39625,-15.339,-7.48225,-8.67225,9.90825,-2.3515,18.5005,10.64275,11.8335,-0.379,28.7,0,-1.3767507096021,0,0,0,0,0,0.039,91.38,223.47,2652.56975
"m2","yich",3,"i","modal","L",72,-5.1105,-14.41575,-15.8975,-17.63625,-18.36725,-11.4055,9.3055,1.48175,12.526,13.2565,6.29525,-2.03725,14.40125,0,-1.93930215964639,0,0,0,0,0.02375,0.0185,86.44325,235.4025,2703.091
"m2","yichbahlh",1,"i","modal","L",63,6.7345,1.5475,-7.9855,-8.8675,-14.59675,-14.9775,5.187,9.53275,15.60225,21.33125,21.712,2.27775,26.706,20.108,-0.828273546346769,20.827,39.67,42.312,40.475,0,0.037,117.539,330.741,2588.26475
"m2","yichbahlh",2,"i","modal","L",74,8.82175,-0.06975,-9.4745,-7.90925,-17.608,-14.41975,8.891,9.40525,16.731,26.42975,23.241,-3.372,31.3315,16.62175,-0.871277715661573,21.88725,41.55875,44.8475,44.6185,0,0.0545,107.2755,297.75275,2688.48625
"m2","yichbahlh",3,"i","modal","L",53,5.696,-9.906,-8.977,-13.784,-27.693,-14.446,15.602,-0.929,19.48,33.388,20.142,8.284,19.255,0,-1.29670862188134,0,0,0,0,0,0.05325,98.86425,265.278,1773.533
"m2","yitw",1,"i","modal","F",52,8.6485,-4.85125,-4.49775,-5.48275,-19.10525,4.83575,13.49975,-0.3535,14.13125,27.75275,3.812,3.9875,21.83175,0,-0.8843894883257,0,0,0,0,0,0.05375,110.40625,213.862,1860.193
"m2","yitw",2,"i","modal","F",61,6.3605,-6.5355,-10.91325,-10.892,-21.9705,-14.4095,12.8965,4.37775,17.25325,28.33125,20.77075,12.50975,10.48325,0,-1.16749108729376,0,0,0,0,0,0.0495,105.6215,244.6005,2055.47075
"m2","yitw",3,"i","modal","F",64,7.4315,-4.756,-11.57525,-16.56125,-23.85425,-8.0565,12.18725,6.81925,23.9925,31.2855,15.48775,6.573,13.55,0,-1.11492161585078,0,0,0,0,0,0.06,103.5095,259.09475,1883.6725
