"idnum","percent","Speaker","Word","Iter","Vowel","Phonation","Tone","Duration","F0","F1","F2","F3","F4","Energy"
1019,"07","f8","iz",3,"i","modal","L",75,147.275,293.129,2755.899,3246.454,4146.771,0.058
1019,"08","f8","iz",3,"i","modal","L",75,143.719,274.292,2727.544,3309.312,4178.898,0.051
1019,"09","f8","iz",3,"i","modal","L",75,142.5,256.899,2736.318,3355.892,4224.983,0.051
1019,"10","f8","iz",3,"i","modal","L",75,143.309,256.899,2736.318,3355.892,4224.983,0.051
102,"01","f3","duh",3,"u","breathy","L",162,240.218,296.027,1777.415,3008.108,4025.7,0.063
102,"02","f3","duh",3,"u","breathy","L",162,230.534,322.435,1305.272,2844.225,3974.381,0.086
102,"03","f3","duh",3,"u","breathy","L",162,220.902,309.956,1093.724,2479.018,4160.999,0.113
102,"04","f3","duh",3,"u","breathy","L",162,215.398,299.545,1052.546,2634.978,4108.081,0.093
102,"05","f3","duh",3,"u","breathy","L",162,212.611,304.505,894.224,2515.995,4358.397,0.044
102,"06","f3","duh",3,"u","breathy","L",162,217.743,252.041,562.634,2917.202,4403.514,0.042
102,"07","f3","duh",3,"u","breathy","L",162,214.09,234.775,949.298,3239.661,4062.21,0.031
102,"08","f3","duh",3,"u","breathy","L",162,206.517,221.712,1498.476,3077.254,4403.006,0.016
102,"09","f3","duh",3,"u","breathy","L",162,212.788,215.644,2246.604,3199.162,4011.217,0.017
102,"10","f3","duh",3,"u","breathy","L",162,205.294,248.321,2059.23,2912.95,3978.946,0.016
1020,"01","f8","jid",1,"i","modal","R",130,183.106,549.174,2172.87,3275.457,3334.983,0.389
1020,"02","f8","jid",1,"i","modal","R",130,180.713,543.329,2215.743,2976.965,3419.812,0.435
1020,"03","f8","jid",1,"i","modal","R",130,178.925,531.573,2286.282,2944.962,3498.796,0.501
1020,"04","f8","jid",1,"i","modal","R",130,178.204,511.066,2373.876,3225.881,3526.14,0.525
1020,"05","f8","jid",1,"i","modal","R",130,178.1,494.112,2414.117,3167.529,3581.61,0.504
1020,"06","f8","jid",1,"i","modal","R",130,177.973,497.692,2466.494,3311.042,3582.225,0.47
1020,"07","f8","jid",1,"i","modal","R",130,179.528,512.305,2416.029,3238.208,3810.059,0.436
1020,"08","f8","jid",1,"i","modal","R",130,180.463,502.047,2376.93,3252.783,4561.177,0.392
1020,"09","f8","jid",1,"i","modal","R",130,182.325,349.127,2398.479,3264.402,4484.003,0.307
1020,"10","f8","jid",1,"i","modal","R",130,180.136,225.532,2553.4,2993.016,4466.38,0.307
1021,"01","f8","jid",2,"i","modal","R",127,179.691,522.464,2136.411,3298.814,3768.085,0.2
