Row,Filename,Language,Sex,Phonation,Tone,Vowel,Lg_phon,Lg_speaker,H1c_means002,H2c_means002,H4c_means002,A1c_means002,A2c_means002,A3c_means002,H1H2c_means002,H2H4c_means002,H1A1c_means002,H1A2c_means002,H1A3c_means002,H42Kc_means002,H2KH5Kc_means002,CPP_means002,Energy_means002,HNR05_means002,HNR15_means002,HNR25_means002,HNR35_means002,SHR_means002,strF0_means002,soe_means002
66,Maz_F5_wae55C.mat,Mz,F,C,55,A,MzC,Mz_F5,0.382117225,0.558441558,0.80086877,0.787997808,0.637548962,0.720545135,0.459934197,0.22277633,0.317210444,0.409045094,0.321283113,0.796630265,0.257116515,0.741574779,0.230075941,0.902642927,0.848034781,0.785035601,0.721886181,1,0.992568337,0.80952381
67,Maz_F6_ba11C.mat,Mz,F,C,11,a,MzC,Mz_F6,0.225675975,0.408235769,0,0,0.295412203,0.345600663,0.224647043,0.916947214,0.6477603,0.38736977,0.346993343,0.236106812,0.65645088,0.384402436,0.137001079,0.185600929,0.248070899,0.239828509,0.229674011,0.644480519,0,0.148148148
68,Maz_F6_ba33C.mat,Mz,F,C,33,a,MzC,Mz_F6,0.509086879,0.790553088,0.387060307,0.549786264,0.689450396,0.875306949,0.242087294,0.780781173,0.511970037,0.331568832,0.033340609,0.239821042,0.615706772,0.439689947,1,0,0,0,0,0.946428571,0.085449587,0
69,Maz_F6_chatae11M.mat,Mz,F,M,11,A,MzM,Mz_F6,0.900542996,0.872507065,0.570633506,0.803761755,0.694632045,0.286921581,0.521315862,0.675960124,0.590172285,0.5668094,0.729509986,0.903458173,0.090838257,0.84062327,0.565938511,0.800298598,0.817047393,0.869482649,0.851082335,0,0.360893581,0.87037037
70,Maz_F6_ja33B.mat,Mz,F,B,33,a,MzB,Mz_F6,0.258699025,0,1,0.170703904,0.998952026,0.200784514,0.485374181,0,0.575820225,0,0.487122122,1,0.831991429,0.498615835,0.026429342,1,1,1,1,0,0.468633758,0.37962963
71,Maz_F6_ja55M.mat,Mz,F,M,55,a,MzM,Mz_F6,0.64893617,0.152765442,0.06022001,0.322029068,0.332673498,0.569314667,0.723032204,0.768262788,0.707325843,0.623318386,0.364018335,0,0.750146094,0.636399589,0.814455232,0.399596339,0.470980722,0.467946136,0.445883262,0,1,0.296296296
72,Maz_F6_jae11B.mat,Mz,F,B,11,A,MzB,Mz_F6,0.951407358,0.10884134,0.067611635,0.076375036,0,0,1,0.744958327,1,1,1,0.754016714,0,0.058451317,0.175296656,0.369377091,0.44095551,0.430828106,0.360391702,0,0.320717382,0.666666667
73,Maz_F6_jae11M.mat,Mz,F,M,11,A,MzM,Mz_F6,0.848681294,0.937908761,0.185573286,0.567683101,0.91493945,0.442261696,0.440712374,0.991861415,0.686172285,0.40766715,0.571073884,0.650074566,0.118076748,0.290832872,0.411272923,0.175647654,0.238979296,0.172699545,0.133616802,1,0.294413369,0.333333333
74,Maz_F6_kamata33M.mat,Mz,F,M,33,a,MzM,Mz_F6,0.71974734,0.387242632,0.524588026,0.659732117,0.73265021,0.656950601,0.648011442,0.514103612,0.568089888,0.434775279,0.323911383,0.540842455,0.562690734,0.713754647,0.372707659,0.613425862,0.642829857,0.680295793,0.700328566,0,0.731478115,0.731481481
75,Maz_F6_nda33M.mat,Mz,F,M,33,a,MzM,Mz_F6,0.657967642,0.249091643,0.26731597,0.32231405,0.595540289,1,0.675555966,0.65160974,0.712089888,0.476617553,0,0.151242297,1,0.867911097,0.286407767,0.900522547,0.869406881,0.871324164,0.869121247,0,0.575618795,0.490740741
76,Maz_F6_ndae11B.mat,Mz,F,B,11,A,MzB,Mz_F6,1,1,0.208269925,0.74938729,0.977002795,0.44002934,0.531235582,1,0.672509363,0.463805253,0.647522645,0.56433777,0.097818323,0.893221546,0.702265372,0.791672427,0.745256831,0.724894976,0.661480479,0,0.337134666,0.583333333
77,Maz_F6_ndae33C.mat,Mz,F,C,33,A,MzC,Mz_F6,0,0.472507065,0.768989956,1,0.27788775,0.258060401,0,0.36492891,0,0.260190836,0.310787952,0.924899406,0.786182715,0,0,0.326716249,0.606463443,0.722276572,0.803408066,0,0.544721018,0.537037037
78,Maz_F6_ndae33M.mat,Mz,F,M,33,A,MzM,Mz_F6,0.665890957,0.507226484,0.499239097,0.918723283,1,0.25761393,0.534603673,0.581761726,0.402816479,0.247176237,0.639037433,0.877486705,0.003343939,0.829629044,0.660059331,0.887279162,0.864364479,0.882977499,0.86035949,0,0.630932737,0.425925926
79,Maz_F6_ndja11B.mat,Mz,F,B,11,a,MzB,Mz_F6,0.945644947,0.662414211,0.305187182,0.172128812,0.257976246,0.127563224,0.678924056,0.790455957,0.946606742,0.847129033,0.888055222,0.720532373,0.227550159,0.655777901,0.28425027,0.751251071,0.706904016,0.664355182,0.612002319,0,0.343840022,0.111111111
